grade,model,prompt,Controllability Score,RMSE,MSE Accuracy,Target Drop,Off-Target Influence
4,claude-sonnet-4-5-20250929,combined,0.193531746031746,0.48115016317550324,0.17992918803418806,0.3841798941798942,0.05584656084656085
4,claude-sonnet-4-5-20250929,few_shot,-0.03544799498746869,0.7368904987884114,0.012340734440061363,-0.034354984683932076,0.045095377332219445
4,claude-sonnet-4-5-20250929,rule_based,0.2540873015873016,0.38337594808254677,0.23878304788516325,0.5229232804232804,0.07350529100529103
5,claude-sonnet-4-5-20250929,combined,0.11206632653061224,0.5880820093224586,0.09580655035200489,0.1991921768707483,0.03915816326530611
5,claude-sonnet-4-5-20250929,few_shot,-0.030739795918367358,0.7554784494038007,0.02055183873365691,-0.022329931972789124,0.04743622448979593
5,claude-sonnet-4-5-20250929,rule_based,0.19233843537414969,0.4723408982832718,0.16603262057807514,0.37777210884353746,0.05730867346938777
