grade,model,prompt,target_drop,off_target,controllability_score
4,claude-sonnet-4-5-20250929,explicit_decision,0.9191218535469108,0.02381973956630706,0.4790824434274092
4,deepseek-chat,explicit_decision,0.5367187499999999,0.5476190476190477,0.030694444444444448
4,gpt-4o,explicit_decision,0.6525297619047619,0.11196145124716553,0.29576719576719573
5,claude-sonnet-4-5-20250929,explicit_decision,0.8501557285873194,0.020996168582375463,0.4768049155145929
5,deepseek-chat,explicit_decision,-0.3211805555555555,1.4212962962962965,-0.7926587301587303
5,gpt-4o,explicit_decision,0.5027043894320782,0.06615352610775951,0.25890813991500494
