grade,model,prompt,n_forget,IS_ACC_R,IS_ACC_F,PS_ACC_R,PS_ACC_F
4,claude-sonnet-4-5-20250929,explicit_decision,1,0.8822435897435897,0.0708974358974359,0.8990705128205128,0.8990705128205128
4,claude-sonnet-4-5-20250929,explicit_decision,2,0.8716880341880341,0.07128205128205128,0.8990705128205128,0.8990705128205128
4,claude-sonnet-4-5-20250929,explicit_decision,3,0.8990705128205128,0.06128205128205128,0.8990705128205128,0.8990705128205128
4,deepseek-chat,explicit_decision,1,0.6367307692307692,0.1309294871794872,0.47426282051282054,0.47426282051282054
4,deepseek-chat,explicit_decision,2,0.7190384615384615,0.19082264957264958,0.47426282051282054,0.47426282051282054
4,deepseek-chat,explicit_decision,3,0.7057371794871795,0.14427350427350427,0.47426282051282054,0.47426282051282054
4,gpt-4o,explicit_decision,1,0.5936752136752137,0.19266025641025641,0.656826923076923,0.656826923076923
4,gpt-4o,explicit_decision,2,0.6246474358974359,0.23564102564102565,0.6568269230769231,0.6568269230769231
4,gpt-4o,explicit_decision,3,0.5763141025641025,0.25230769230769234,0.656826923076923,0.656826923076923
5,claude-sonnet-4-5-20250929,explicit_decision,1,0.8383838383838383,0.15151515151515152,0.8585858585858586,0.8585858585858586
5,claude-sonnet-4-5-20250929,explicit_decision,2,0.8484848484848485,0.12626262626262627,0.8585858585858586,0.8585858585858586
5,deepseek-chat,explicit_decision,1,0.5555555555555556,0.22222222222222224,0.27272727272727276,0.27272727272727276
5,deepseek-chat,explicit_decision,2,0.6464646464646465,0.2222222222222222,0.27272727272727276,0.27272727272727276
5,gpt-4o,explicit_decision,1,0.5505050505050505,0.21212121212121215,0.5353535353535354,0.5353535353535354
5,gpt-4o,explicit_decision,2,0.5858585858585859,0.20707070707070707,0.5353535353535354,0.5353535353535354
