grade,model,prompt,Controllability Score,RMSE,MSE Accuracy,Target Drop,Off-Target Influence
4,claude-sonnet-4-5-20250929,explicit_decision,0.47908244342740913,0.07800723694841774,0.4756662387683541,0.9178108314263921,0.01975485210611068
4,deepseek-chat,explicit_decision,0.38231170399648656,0.19300882518786527,0.3695435796077142,0.7810005855658029,0.07299370516761824
4,gpt-4o,explicit_decision,0.2885298958367852,0.27541291165915904,0.3947408051172474,0.6914431520694568,0.15003048679457864
5,claude-sonnet-4-5-20250929,explicit_decision,0.476804915514593,0.12087060930876424,0.4501289955835411,0.8424164415488109,0.01635467980295565
5,deepseek-chat,explicit_decision,0.3466463692756796,0.2756277938765729,0.2682670864489046,0.6321715547649456,0.03220215289180807
5,gpt-4o,explicit_decision,0.29603653472331376,0.34825070926100893,0.44680571953299225,0.5817432004950491,0.06923237712944898
