grade,model,prompt,target_drop,off_target,selectivity
4,claude-sonnet-4-5-20250929,explicit_decision,0.9178108314263921,0.01975485210611068,0.9789296329505052
4,deepseek-chat,explicit_decision,0.7810005855658029,0.07299370516761824,0.914526704833756
4,gpt-4o,explicit_decision,0.6914431520694568,0.15003048679457864,0.8217050651535318
5,claude-sonnet-4-5-20250929,explicit_decision,0.8424164415488109,0.01635467980295565,0.9809557163983718
5,deepseek-chat,explicit_decision,0.6321715547649456,0.03220215289180807,0.9515300598560483
5,gpt-4o,explicit_decision,0.5817432004950491,0.06923237712944898,0.8936482712980786
