grade,model,prompt,IS_ACC_R,IS_ACC_F,PS_ACC_R,PS_ACC_F
4,claude-sonnet-4-5-20250929,explicit_decision,0.8825274725274725,0.06831501831501831,0.8990705128205129,0.8990705128205129
4,deepseek-chat,explicit_decision,0.8433638583638584,0.19728021978021976,0.8986858974358974,0.8986858974358974
4,gpt-4o,explicit_decision,0.6019887057387058,0.2281227106227106,0.708826923076923,0.708826923076923
5,claude-sonnet-4-5-20250929,explicit_decision,0.8434343434343434,0.1388888888888889,0.8585858585858586,0.8585858585858586
5,deepseek-chat,explicit_decision,0.9217171717171717,0.3409090909090909,0.888888888888889,0.888888888888889
5,gpt-4o,explicit_decision,0.5681818181818182,0.20959595959595959,0.5757572323232324,0.5757572323232324
